Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
503	դրոշմել	2		քաղել	դրոշմ	Regular	C	E-Class	-ել	To stamp, to print, to mark, to confirm; to register, to seal.	Transitive																																																										
504	դրուատել	2		քաղել	դրուատ	Regular	C	E-Class	-ել	To praise, to laud.	Transitive																																																										
505	դրսեւորել	2		քաղել	դրսեւոր	Regular	C	E-Class	-ել		Transitive																																																										
506	դրօշազարդել	2		քաղել	դրօշազարդ	Regular	C	E-Class	-ել	To deck, to dress with flags.	Transitive																																																										
507	եեկնցնել	9	Basic	աճեցնել	եեկն	Regular	V	Causative	-ցնել		Transitive																																																										
508	եզերել	1		երգել	եզեր	Regular	V	E-Class	-ել	To mark out, to delimit.	Transitive																																																										
509	եզրակացնել	9	Basic	աճեցնել	եզրակա	Regular	V	Causative	-ցնել	To conclude, to infer.	Transitive																																																										
510	եզրափակել	1		երգել	եզրափակ	Regular	V	E-Class	-ել		Transitive																																																										
511	ելեկտրականացնել	9	Basic	աճեցնել	ելեկտրականա	Regular	V	Causative	-ցնել	To electrify.	Transitive																																																										
512	ելլալ	25	Theme -a-	ելլալ	ելլ	Suppletive	V		-ալ		Intransitive																																																										
513	ելլել	25	Theme -e-	ելլել	ելլ	Suppletive	V		-ել	To get up, to go up, to ascend, to mount, to rise, to amount.	Intransitive																																																										
514	եղանակաւորել	1		երգել	եղանակաւոր	Regular	V	E-Class	-ել	To form, to reform, to mend, to modify.	Transitive																																																										
515	եղանակել	1		երգել	եղանակ	Regular	V	E-Class	-ել	To tune; to modulate, to intone.	Both																																																										
516	եղբայրանալ	19		ամչնալ	եղբայրա	Regular	V	Inchoative	-նալ	To fraternize, to be fellow member.	Intransitive																																																										
517	եղծանել	1		երգել	եղծան	Regular	V	E-Class	-ել	To corrupt, to destroy, to ruin, to deface, to erase, to spoil, to efface, to abolish, to deteriorate.	Transitive																																																										
518	եղծանիլ	3	Basic	ապրիլ	եղծան	Regular	V	I-Class	-իլ	To fall to ruin, to be spoiled; to grow corrupt.	Intransitive																																																										
519	եղծել	1		երգել	եղծ	Regular	V	E-Class	-ել	To corrupt, to destroy, to ruin, to deface, to erase, to spoil, to efface, to abolish, to deteriorate.	Transitive																																																										
520	եմ	32		եմ	ե	Defective	V		-մ	Am.	Neither																																																										
521	ենթադրել	1		երգել	ենթադր	Regular	V	E-Class	-ել	To suppose, to surmise; to subdue.	Transitive																																																										
522	ենթարկել	1		երգել	ենթարկ	Regular	V	E-Class	-ել	To expose, to subject.	Transitive																																																										
523	եպերել	1		երգել	եպեր	Regular	V	E-Class	-ել	To blame, to condemn, to vituperate.	Transitive																																																										
524	եռալ	5		աղալ	եռ	Regular	V	A-Class	-ալ	To bubble, to boil, to gush.	Intransitive																																																										
525	եռապատկել	1		երգել	եռապատկ	Regular	V	E-Class	-ել		Transitive																																																										
526	եռացնել	9	Basic	աճեցնել	եռա	Regular	V	Causative	-ցնել	To boil, to warm, to give heat.	Transitive																																																										
527	եռեւեփիլ	3	Basic	ապրիլ	եռեւեփ	Regular	V	I-Class	-իլ		Intransitive																																																										
528	երազել	1		երգել	երազ	Regular	V	E-Class	-ել	To dream, to rave.	Intransitive																																																										
529	երաշխաւորել	1		երգել	երաշխաւոր	Regular	V	E-Class	-ել	To warrant, to guarantee.	Transitive																																																										
530	երգել	1		երգել	երգ	Regular	V	E-Class	-ել	To sing, to chant.	Transitive																																																										
531	երդնուլ	21		երդնուլ	երդ	Archaic	V		-նուլ	To give an oath, to swear; to curse, to detest.	Intransitive																																																										
532	երերալ	5		աղալ	երեր	Regular	V	A-Class	-ալ	To move, to vacillate, to tremble.	Intransitive																																																										
533	երերցնել	9	Basic	աճեցնել	երեր	Regular	V	Causative	-ցնել		Transitive																																																										
534	երեւալ	5		աղալ	երեւ	Regular	V	A-Class	-ալ	To appear, to be seen, to be visible, to be in sight; to seem.	Intransitive																																																										
535	երեւակայել	1		երգել	երեւակայ	Regular	V	E-Class	-ել	To fancy, to imagine.	Intransitive																																																										
