Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
204	բաժանորդագրել	2		քաղել	բաժանորդագր	Regular	C	E-Class	-ել	To subscribe for, to make joint-sharer.	Transitive																																																										
205	բաժանորդագրուիլ	4	Passive	բուժուիլ	բաժանորդագր	Regular	C	Passive	-ուիլ	To subscribe, to participate.	Intransitive																																																										
206	բաժնել	2		քաղել	բաժն	Regular	C	E-Class	-ել	To divide, to separate, to part, to distribute.	Transitive																																																										
207	բաժնուիլ	4	Passive	բուժուիլ	բաժն	Regular	C	Passive	-ուիլ	To divide, to be divided, to separate.	Intransitive																																																										
208	բախել	2		քաղել	բախ	Regular	C	E-Class	-ել	To beat, to strike, to flap.	Transitive																																																										
209	բախիլ	4	Basic	խօսիլ	բախ	Regular	C	I-Class	-իլ	To strike one another, to flap, to be beaten.	Intransitive																																																										
210	բաղադրել	2		քաղել	բաղադր	Regular	C	E-Class	-ել	To compound, to combine, to compose.	Transitive																																																										
211	բաղդատել	2		քաղել	բաղդատ	Regular	C	E-Class	-ել	To compare, to confront.	Transitive																																																										
212	բաղկանալ	20		նիհարնալ	բաղկա	Regular	C	Inchoative	-նալ	To consist, to be composed.	Intransitive																																																										
213	բաղձալ	6		կարդալ	բաղձ	Regular	C	A-Class	-ալ	To long for, to wish for, to desire.	Transitive																																																										
214	բամբասել	2		քաղել	բամբաս	Regular	C	E-Class	-ել	To slander, to backbite.	Intransitive																																																										
215	բանադրել	2		քաղել	բանադր	Regular	C	E-Class	-ել	To anathematize, to excommunicate.	Transitive																																																										
216	բանալ	42		բանալ	բան	Suppletive	C		-ալ	To open, to discover, to unveil, to disclose.	Transitive																																																										
217	բանակիլ	4	Basic	խօսիլ	բանակ	Regular	C	I-Class	-իլ	To encamp, to pitch the camp.	Intransitive																																																										
218	բանաձեւել	2		քաղել	բանաձեւ	Regular	C	E-Class	-ել	To formularize.	Transitive																																																										
219	բանավիճիլ	4	Basic	խօսիլ	բանավիճ	Regular	C	I-Class	-իլ		Intransitive																																																										
220	բանեցնել	10	Basic	մօտեցնել	բանե	Regular	C	Causative	-ցնել	To make to work, to cause to act.	Transitive																																																										
221	բանիլ	4	Basic	խօսիլ	բան	Regular	C	I-Class	-իլ	To act, to work, to run.	Intransitive																																																										
222	բանսարկել	2		քաղել	բանսարկ	Regular	C	E-Class	-ել	To plot, to calumniate, to slander.	Intransitive																																																										
223	բանտարկել	2		քաղել	բանտարկ	Regular	C	E-Class	-ել	To imprison, to confine, to detain.	Transitive																																																										
