Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
237	բարեխառնել	2	քաղել	բարեխառն	Regular	E-Class	C-initial	-ել		
238	բարեխօսել	2	քաղել	բարեխօս	Regular	E-Class	C-initial	-ել		
239	բարեկամանալ	20	նիհարնալ	բարեկամ	Regular	Inchoative	C-initial	-նալ		
240	բարեկարգել	2	քաղել	բարեկարգ	Regular	E-Class	C-initial	-ել		
241	բարեհաճիլ	4	խօսիլ	բարեհաճ	Regular	I-Class	C-initial	-իլ		
242	բարեմաղթել	2	քաղել	բարեմաղթ	Regular	E-Class	C-initial	-ել		
243	բարենորոգել	2	քաղել	բարենորոգ	Regular	E-Class	C-initial	-ել		
244	բարեւել	2	քաղել	բարեւ	Regular	E-Class	C-initial	-ել		
245	բարկանալ	20	նիհարնալ	բարկ	Regular	Inchoative	C-initial	-նալ		
246	բարկացնել	10	մօտեցնել	բարկա	Regular	Causative	C-initial	-ցնել		
247	բարձել	2	քաղել	բարձ	Regular	E-Class	C-initial	-ել		
248	բարձրանալ	20	նիհարնալ	բարձր	Regular	Inchoative	C-initial	-նալ		
249	բարձրացնել	10	մօտեցնել	բարձրա	Regular	Causative	C-initial	-ցնել		
250	բարւոքել	2	քաղել	բարւոք	Regular	E-Class	C-initial	-ել		
251	բարւոքիլ	4	խօսիլ	բարւոք	Regular	I-Class	C-initial	-իլ		
252	բացակայիլ	4	խօսիլ	բացակայ	Regular	I-Class	C-initial	-իլ		
253	բացականչել	2	քաղել	բացականչ	Regular	E-Class	C-initial	-ել		
254	բացայայտել	2	քաղել	բացայայտ	Regular	E-Class	C-initial	-ել		
255	բացասել	2	քաղել	բացաս	Regular	E-Class	C-initial	-ել		
256	բացատրել	2	քաղել	բացատր	Regular	E-Class	C-initial	-ել		
257	բացուիլ	4	խօսիլ	բաց	Regular	Passive	C-initial	-իլ		
258	բաւականանալ	20	նիհարնալ	բաւական	Regular	Inchoative	C-initial	-նալ		
259	բաւարարել	2	քաղել	բաւարար	Regular	E-Class	C-initial	-ել		
260	բաւել	2	քաղել	բաւ	Regular	E-Class	C-initial	-ել		
261	բաւեցնել	10	մօտեցնել	բաւե	Regular	Causative	C-initial	-ցնել		
262	բեկանել	2	քաղել	բեկան	Regular	E-Class	C-initial	-ել		
263	բեկել	2	քաղել	բեկ	Regular	E-Class	C-initial	-ել		
264	բեղմնաւորել	2	քաղել	բեղմնաւոր	Regular	E-Class	C-initial	-ել		
265	բեմադրել	2	քաղել	բեմադր	Regular	E-Class	C-initial	-ել		
266	բեռնաւորել	2	քաղել	բեռնաւոր	Regular	E-Class	C-initial	-ել		
267	բեռցնել	10	մօտեցնել	բեռ	Regular	Causative	C-initial	-ցնել		
268	բերել	38	բերել	բեր	Irregular		C-initial	Lexeme բերել		
269	բերկրիլ	4	խօսիլ	բերկր	Regular	I-Class	C-initial	-իլ		
270	բեւեռել	2	քաղել	բեւեռ	Regular	E-Class	C-initial	-ել		
271	բզզալ	6	կարդալ	բզզ	Regular	A-Class	C-initial	-ալ		
272	բզքտել	2	քաղել	բզքտ	Regular	E-Class	C-initial	-ել		
273	բթանալ	20	նիհարնալ	բթ	Regular	Inchoative	C-initial	-նալ		
274	բթացնել	10	մօտեցնել	բթա	Regular	Causative	C-initial	-ցնել		
275	բժշկել	2	քաղել	բժշկ	Regular	E-Class	C-initial	-ել		
